Medical Text,Medicine\ Chemical Name,Organ,Disease,Hormone,Pharmacological Class,Common Medical Terms
"এসোমেপ্রাজল, একটি শক্তিশালী ওষুধ, বৈপ্লবিক পরিবর্তন করেছে গ্যাস্ট্রিক সমস্যার চিকিত্সা. এই অসাধারণ ওষুধটি গ্যাস্ট্রোইসোফেজিয়াল রিফ্লাক্স ডিজিজ (GERD) এবং পেটের আলসারের মতো গ্যাস্ট্রিক রোগের একটি পরিসরের চিকিৎসায় সাহায্য করে। ",এসোমেপ্রাজল,,"গ্যাস্ট্রিক, আলসার",,,
"প্রতিদিন একই সময়ে এসোমেপ্রাজল নিন।
প্রেসক্রিপশন বা প্যাকেজ নির্দেশাবলী সাবধানে অনুসরণ করুন। নির্ধারিত ডোজ বা সময়কাল অতিক্রম করা এড়িয়ে চলুন।",এসোমেপ্রাজল,,"গ্যাস্টিক, আলসার",,,
"অ্যাসিক্লোফেন্যাক অ স্টেরয়েডাল অ্যান্টি-ইনফ্ল্যামেটরি ড্রাগস (NSAIDs) বিভাগের অন্তর্গত। দীর্ঘস্থায়ী প্রদাহ এবং ব্যথার ক্ষেত্রে এই ওষুধটি নির্ধারিত হয় হাড় অথবা জয়েন্টগুলি. অ্যাসিক্লোফেন্যাক শরীরে ""সাইক্লোঅক্সিজেনেস
 (COX)"" নামে পরিচিত এনজাইমের প্রভাবকে ব্লক করে কাজ করে। এই এনজাইম আঘাতের স্থানে রাসায়নিক প্রোস্টাগ্ল্যান্ডিন নিঃসরণ করে এবং ফলস্বরূপ ফোলা, ব্যথা এবং প্রদাহ হয়। COX এনজাইম ব্লক করে, অ্যাসিক্লোফেন্যাক ব্যথা উপশম করতে এবং প্রদাহ কমাতে সাহায্য করে।",অ্যাসিক্লোফেন্যাক,,"দীর্ঘস্থায়ী প্রদাহ, ব্যথা",প্রোস্টাগ্ল্যান্ডিন,অ স্টেরয়েডাল অ্যান্টি-ইনফ্ল্যামেটরি ড্রাগস,
শরীরে যে কোনো ধরনের ব্যথা অনুভব করলে অবশ্যই প্যারাসিটামল খেতে হবে। আপনার জ্বর হলে তাপমাত্রা কমাতেও এই ওষুধটি ব্যবহার করা যেতে পারে। অযথা ওষুধ খাবেন না। যদি আপনার শরীরে কিছু তীব্র ব্যথা হয় যা অসহ্য হয় তবে প্রথমে একজন ডাক্তারের সাথে পরামর্শ করা ভাল।,প্যারাসিটামল,,"ব্যথা, জ্বর",,,"ঔষধ, ডাক্তার"
প্যারাসিটামল একটি ব্যথা উপশমকারী এবং সেইসাথে একটি অ্যান্টিপাইরেটিক (যা শরীরের তাপমাত্রা কমায়)। এটি অন্যান্য ওষুধের সাথেও নেওয়া যেতে পারে। প্যারাসিটামল ব্যথা এবং প্রদাহ সৃষ্টিকারী প্রোস্টাগ্ল্যান্ডিনের মতো প্রদাহজনক মধ্যস্থতাকারীর উৎপাদনকে বাধা দিয়ে কাজ করে।,প্যারাসিটামল,,ব্যথা,প্রোস্টাগ্ল্যান্ডিনস,অ্যান্টিপাইরেটিক,ওষুধ
টাফনিল প্রধানত মাইগ্রেশনের মতো ব্যথা উপশম করতে ব্যবহৃত হয়। মাইগ্রেন সহ জ্বর সহ বিভিন্ন ধরণের মাথাব্যথার চিকিত্সার জন্যও টাফনিল ব্যবহার করা হয়। এমনকি চিরার কারণে সৃষ্ট পোস্ট-অপারেটিভ ব্যথার চিকিৎসার জন্য তাফনিল খাওয়ার পরামর্শ দেওয়া হয়।,"টাফনিল, টলফেনামিক",,"ব্যথা, জ্বর",,,
ক্যালসিট্রিওল হল ভিটামিন ডি-এর একটি জৈবিকভাবে সক্রিয় কৃত্রিম রূপ। এটি দীর্ঘস্থায়ী কিডনি ব্যর্থতা এবং হাইপারপ্যারাথাইরয়েডিজম (অত্যধিক প্যারাথাইরয়েড গ্রন্থি) রোগীদের বিপাকীয় হাড়ের রোগের মতো অবস্থার চিকিৎসা করতে ব্যবহৃত হয়।,ক্যালসিট্রিওল,কিডনি,হাড়ের রোগ,,,
"ভিটামিন বি কমপ্লেক্স আমাদের শরীরের স্বাস্থ্য বজায় রাখতে গুরুত্বপূর্ণ ভূমিকা পালন করে, তবে যেহেতু এটি একটি জলে দ্রবণীয় ভিটামিন তাই এটি প্রস্রাবের মাধ্যমে শরীর থেকে নির্গত হতে পারে। ভিটামিন বি-এর অত্যধিক ক্ষতির ফলে ঘাটতি দেখা দিতে পারে, বিশেষ করে যদি ব্যক্তির খাদ্যে ভিটামিন বি-সমৃদ্ধ খাবারের অভাব থাকে, যার জন্য ভিটামিন বি কমপ্লেক্স নির্ধারিত হতে পারে।",ভিটামিন বি কমপ্লেক্স,,,,ভিটামিন,"ভিটামিন বি কমপ্লেক্স, স্বাস্থ্য, অভাব, খাদ্য"
ভিটামিন বি কমপ্লেক্স বেশিরভাগ মৌখিক ট্যাবলেট আকারে পাওয়া যায়। ভিটামিন সম্পূরক শুধুমাত্র একজন চিকিত্সকের সাথে পরামর্শ করার পরে নেওয়া উচিত এবং তাদের সুপারিশকৃত ডোজ অতিক্রম করা উচিত নয়। খাবারের পর বি কমপ্লেক্স ওরাল ট্যাবলেট খাওয়া যেতে পারে।,ভিটামিন বি কমপ্লেক্স,,,,ভিটামিন,"বি কমপ্লেক্স, ভিটামিন, ডোজ, ওরাল ট্যাবলেট"
"ভিটামিন বি কমপ্লেক্স হল বিভিন্ন ধরনের বি ভিটামিনের সংমিশ্রণ। সুতরাং, আপনি তাদের কোন এলার্জি আছে কিনা তা দেখতে উপাদান পরীক্ষা করুন. এছাড়াও, আপনাকে অবশ্যই ভিটামিন বি কমপ্লেক্সকে একটি অতিরিক্ত খাদ্যতালিকাগত পরিপূরক হিসাবে বিবেচনা করতে হবে এবং কোনোভাবেই স্বাস্থ্যকর, সুষম খাদ্যের জন্য ক্ষতিপূরণ দেয় না। আপনার এখনও একটি স্বাস্থ্যকর, সুষম, পুষ্টি-ঘন খাদ্য খাওয়া উচিত",ভিটামিন বি কমপ্লেক্স,,,,ভিটামিন,"বি ভিটামিন, অ্যালার্জি, পরিপূরক, সুষম খাদ্য"
"ফেক্সোফেনাডাইন হল অ্যান্টিহিস্টামিন বা অ্যান্টি-অ্যালার্জিক শ্রেণীর ওষুধের সদস্য। এটি বেশিরভাগই বিভিন্ন অ্যালার্জির চিকিত্সার জন্য ব্যবহৃত হয়। ফেক্সোফেনাডিন, একটি নির্বাচনী পেরিফেরাল H1-ব্লকার, চিকিৎসা অবস্থার চিকিৎসার জন্য ব্যবহার করা যেতে পারে। ফেক্সোফেনাডাইনের সক্রিয় উপাদান হল ফেক্সোফেনাডিন, একটি অ-তন্দ্রাহীন অ্যান্টিহিস্টামিন। যদিও কিছু লোক এখনও এটি গ্রহণ করার পরে তন্দ্রা অনুভব করে বলে অভিযোগ করে, এটি অ্যালার্জির চিকিৎসার জন্য ব্যবহৃত হয় কারণ এটি হিস্টামিনের ক্রিয়াকে অবরুদ্ধ করে, একটি রাসায়নিক যা সাধারণত অ্যালার্জির প্রতিক্রিয়ার সাথে যুক্ত।",ফেক্সোফেনাডিন,,এলার্জি,,অ্যান্টিহিস্টামিন / অ্যান্টি-অ্যালার্জিক,"ফেক্সোফেনাডিন, অ্যান্টিহিস্টামাইনস, অ্যালার্জি, হিস্টামাইনস, এইচ১-ব্লকার"
"আপেল, কমলা বা আঙ্গুরের মতো ফলের রসের সাথে ফেক্সোফেনাডিন গ্রহণ করা এড়িয়ে চলুন। ফেক্সোফেনাডিন এবং এই রসগুলির মধ্যে মিথস্ক্রিয়া ওষুধের শোষণ এবং কার্যকারিতাকে প্রভাবিত করতে পারে, তাই এটি জলের সাথে বা আপনার স্বাস্থ্যসেবা প্রদানকারীর নির্দেশ অনুসারে গ্রহণ করা ভাল।",ফেক্সোফেনাডিন,,,,অ্যান্টিহিস্টামাইনস,"ফেক্সোফেনাডিন, ফলের রস, শোষণ, কার্যকারিতা"
"ফেক্সোফেনাডিনের পার্শ্বপ্রতিক্রিয়াগুলির মধ্যে মাথাব্যথা, তন্দ্রা অনুভব, শুষ্ক মুখ, অসুস্থ বোধ করা এবং মাথা ঘোরা, কাশি, জ্বর বা পেট ব্যথা অন্তর্ভুক্ত থাকতে পারে। ব্যথা, শুনতে অসুবিধা এবং কানের স্রাব।",ফেক্সোফেনাডিন,"মস্তিষ্ক, মুখ, কান",,,অ্যান্টিহিস্টামাইনস,"পার্শ্ব প্রতিক্রিয়া, মাথাব্যথা, তন্দ্রা, শুষ্ক মুখ, মাথা ঘোরা, কাশি"
"সাধারণভাবে, ফেক্সোফেনাডিন খুবই নিরাপদ। এটা অসম্ভাব্য যে আপনার নিয়মিত ডোজ বেশী গ্রহণ আপনাকে আঘাত করবে. যাইহোক, আপনি যদি খুব বেশি গ্রহণ করেন তবে আপনি কিছু সাধারণ পার্শ্ব প্রতিক্রিয়া অনুভব করতে পারেন। যদি এটি ঘটে বা আপনি উদ্বিগ্ন হন তবে আপনার ডাক্তারের সাথে কথা বলা উচিত। যদি রোগী পড়ে যায়, খিঁচুনি হয়, শ্বাস নিতে কষ্ট হয় বা জাগ্রত হতে না পারে, তাহলে অবিলম্বে আপনার নিকটস্থ হাসপাতালে যোগাযোগ করুন।",ফেক্সোফেনাডিন,,,,অ্যান্টিহিস্টামাইনস,"ফেক্সোফেনাডিন, পার্শ্ব প্রতিক্রিয়া, ডাক্তারের পরামর্শ"
অ্যামোক্সিসিলিন হল একটি পেনিসিলিন-ভিত্তিক অ্যান্টিবায়োটিক (অ্যামিনো-পেনিসিলিন) যা ব্যাকটেরিয়া সংক্রমণের বিরুদ্ধে লড়াই করতে সাহায্য করে। এটি প্রাথমিক যত্নের সেটিংয়ে সর্বাধিক ব্যবহৃত অ্যান্টিবায়োটিকগুলির মধ্যে একটি এবং এটি বিভিন্ন ধরণের গ্রাম-পজিটিভ ব্যাকটেরিয়া এবং কিছু গ্রাম-নেতিবাচক ব্যাকটেরিয়ার বিরুদ্ধেও কাজ করে।,অ্যামোক্সিসিলিন,,ব্যাকটেরিয়া সংক্রমণ,,অ্যামিনো-পেনিসিলিন,অ্যান্টিবায়োটিক
"অ্যাজিথ্রোমাইসিন ড্রাগটি ম্যাক্রোলাইড অ্যান্টিবায়োটিক নামক ওষুধের একটি গ্রুপের অন্তর্গত, যা ব্যাকটেরিয়া মেরে কাজ করে যা সংক্রমণ ঘটায়। এজিথ্রোমাইসিন ব্যাকটেরিয়া দ্বারা সৃষ্ট সংক্রমণের চিকিৎসা করার উদ্দেশ্যে তৈরি করা হয়েছে, যার মধ্যে শ্বাসযন্ত্রের সংক্রমণ, ত্বক এবং নরম টিস্যু সংক্রমণ, যৌনবাহিত রোগ এবং এমনকি নির্দিষ্ট ধরণের নিউমোনিয়া অন্তর্ভুক্ত কিন্তু সীমাবদ্ধ নয়।",এজিথ্রোমাইসিন,"ত্বক, শ্বাসযন্ত্র",নিউমোনিয়া,,ম্যাক্রোলাইড অ্যান্টিবায়োটিক,"অ্যান্টিবায়োটিক, সংক্রমণ"
"অ্যালবেন্ডাজল, একটি শক্তিশালী অ্যান্টিপ্যারাসাইটিক ড্রাগ, বিভিন্ন কৃমি সংক্রমণের চিকিৎসায় এর কার্যকারিতার জন্য মনোযোগ আকর্ষণ করেছে। এই বহুমুখী ওষুধটি অন্ত্র এবং টিস্যু উভয় পরজীবীকে প্রভাবিত করতে পারে",আলবেনডাজল,,কৃমির উপদ্রব,,অ্যান্টিপ্যারাসাইটিক,"ওষুধ,"
"ক্লোরফেনিরামাইন হল একটি অ্যান্টিহিস্টামাইন ড্রাগ যা বিভিন্ন ধরণের অ্যালার্জির প্রতিক্রিয়ার জন্য ব্যবহৃত হয়, যার মধ্যে রয়েছে মৌসুমী অ্যালার্জি, অ্যালার্জিক রাইনাইটিস, আমবাত এবং অ্যালার্জিক কনজেক্টিভাইটিস। এটি হিস্টামিনের প্রভাবকে অবরুদ্ধ করে কাজ করে, একটি রাসায়নিক যা শরীরে অ্যালার্জির প্রতিক্রিয়া সৃষ্টি করে। ক্লোরফেনিরামিন সাইনাস সংক্রমণ এবং হাঁচির মতো সাধারণ ঠান্ডা লক্ষণগুলির চিকিত্সার জন্য অতিরিক্ত কার্যকর।",ক্লোরফেনিরামিন,"নাক, চোখ","অ্যালার্জি, হাঁচি",,অ্যান্টিহিস্টামাইনস,
"ডাইক্লোফেনাক একটি নন-স্টেরয়েডাল অ্যান্টি-ইনফ্ল্যামেটরি ড্রাগ (NSAID)। এটি শরীরে ব্যথার মূল কারণ বা ট্রিগারগুলিকে নির্মূল করে ব্যথা উপশম এবং প্রদাহ কমাতে বোঝানো হয়। এটি মৌখিকভাবে, শিরায় (শিরার মধ্যে), মলদ্বারে (মলদ্বারের মাধ্যমে), বা ত্বকের নীচে (ত্বকের মাধ্যমে) ইনজেকশন করা যেতে পারে। এটি প্রোস্টাগ্ল্যান্ডিন এনজাইমগুলিকে বাধা দিয়ে কাজ করে, যা ব্যথা এবং প্রদাহ সৃষ্টি করে।",ডাইক্লোফেনাক,ত্বক,"প্রদাহ, ব্যথা",,নন-স্টেরয়েডাল অ্যান্টি-ইনফ্ল্যামেটরি ড্রাগ,ব্যথানাশক
"ডাইক্লোফেনাক বিভিন্ন অ্যালার্জির প্রতিক্রিয়ার উপসর্গ সৃষ্টি করতে পারে, যেমন শ্বাস নিতে অসুবিধা, মুখ ও গলায় প্রদাহ বা ত্বকের তীব্র প্রতিক্রিয়া (ত্বকের ব্যথা, ফোসকা, খোসা ছাড়ানো এবং ত্বকে ফুসকুড়ি)।",ডাইক্লোফেনাক,"মুখ, গলা, ত্বক","ত্বকে ব্যথা, ফোস্কা",,,ব্যথানাশক
Diclofenac (ডাইক্লোফেনাক) সব ওষুধপত্র কক্ষ তাপমাত্রায় সংরক্ষণ করা উচিত এবং সরাসরি তাপ এবং আলো থেকে দুরে রাখা উচিত যাতে এটি নষ্ট না হয়। রেফ্রিজারেটরে ওষুধ সংরক্ষণ করবেন না।,ডাইক্লোফেনাক,,,,,ওষুধ
"ইসোমিপ্রাজল , একটি শক্তিশালী ওষুধ, গ্যাস্ট্রিক সমস্যার চিকিৎসায় বিপ্লব ঘটিয়েছে। এই অসাধারণ ওষুধটি গ্যাস্ট্রোইসোফেজিয়াল রিফ্লাক্স ডিজিজ (GERD) এবং পাকস্থলীর আলসারের মতো গ্যাস্ট্রিক ব্যাধিগুলির একটি পরিসরের চিকিৎসায় সাহায্য করে।",ইসোমিপ্রাজল,,"গ্যাস্ট্রিক, আলসার",,,
প্রতিদিন একই সময়ে ইসোমিপ্রাজল নিন। প্রেসক্রিপশন বা প্যাকেজ নির্দেশাবলী সাবধানে অনুসরণ করুন. নির্ধারিত ডোজ বা সময়কাল অতিক্রম করা এড়িয়ে চলুন।,ইসোমিপ্রাজল,,"গ্যাস্টিক, আলসার",,,
"সেকলো হল একটি প্রতিস্থাপিত বেনজিমিডাজল-জাতীয় ওষুধ, যা গ্যাস্ট্রিক অ্যাসিড নিঃসরণ প্রতিরোধক হিসেবে কাজ করে। এটি গ্যাস্ট্রিক প্যারিটাল কোষের হাইড্রোজেন-পটাসিয়াম-অ্যাডিনোসিন ট্রাইফসফেটেস এনজাইম সিস্টেম (H+/K+ ATPase) বাধা দিয়ে গ্যাস্ট্রিক অ্যাসিড নিঃসরণকে বাধা দেয়। মৌখিক প্রশাসনের পরে, Ceclo এর অ্যান্টাসিড কার্যকলাপ 1 ঘন্টার মধ্যে শুরু হয়, 2 ঘন্টার মধ্যে সর্বোচ্চ এবং 72 ঘন্টা পর্যন্ত স্থায়ী হয়। এটি বন্ধ হয়ে গেলে, 3-5 দিনের মধ্যে অ্যাসিড নিঃসরণ স্বাভাবিক অবস্থায় ফিরে আসে।",,মুখ,গ্যাস্ট্রিক,,বেনজিমিডাজল,
ওমেপ্রাজল প্রদাহ নিয়ন্ত্রণ করতে ব্যবহৃত হয়।,ওমেপ্রাজল,,প্রদাহ,,,
"ব্যথা নিয়ন্ত্রণে অ্যাসপিরিন ব্যবহার করা হয়। এটি প্রাথমিকভাবে পেশীগুলিকে প্রভাবিত করে। একটি অ্যান্টিবায়োটিক হিসাবে শ্রেণীবদ্ধ, এটি রোগীর অবস্থা এবং চিকিৎসা ইতিহাসের উপর ভিত্তি করে নির্ধারিত হয়।",অ্যাসপিরিন,,ব্যাথা,ইস্ট্রোজেন,অ্যান্টিবায়োটিক,ডোজ
অ্যামোক্সিসিলিন হল একটি পেনিসিলিন-ভিত্তিক অ্যান্টিবায়োটিক যা ব্যাকটেরিয়া সংক্রমণের বিরুদ্ধে লড়াই করতে সাহায্য করে।,অ্যামোক্সিসিলিন,,ব্যাকটেরিয়া সংক্রমণ,,অ্যান্টিবায়োটিক,
অ্যামোক্সিসিলিন শুধুমাত্র ব্যাকটেরিয়া সংক্রমণের বিরুদ্ধে কার্যকর এবং ভাইরাল রোগ নয়।,অ্যামোক্সিসিলিন,,,,,
বুকের সংক্রমণ বা কানের সংক্রমণের রোগীদের জন্য অ্যামোক্সিসিলিন নির্ধারিত হয়।,অ্যামোক্সিসিলিন,"বক্ষ, কান","বুকের সংক্রমণ, কানের সংক্রমণ",,,
অ্যামোক্সিসিলিন একটি ওভার-দ্য-কাউন্টার ওষুধ নয় এবং এটি শুধুমাত্র একজন ডাক্তারের প্রেসক্রিপশন দিয়ে কেনা যায়।,অ্যামোক্সিসিলিন,,,,,প্রেসক্রিপশন
অ্যামোক্সিসিলিন পাকস্থলীর আস্তরণে প্রোটন পাম্পের ক্রিয়াকে বাধা দিয়ে কাজ করে।,অ্যামোক্সিসিলিন,পাকস্থলী,,,,
"অ্যামোক্সিসিলিন ফ্যারিঞ্জাইটিস, সাইনোসাইটিস, এবং নিউমোনিয়ার মতো সংক্রমণ চিকিৎসার জন্য ব্যবহৃত হয়।",অ্যামোক্সিসিলিন,"গলা, নাক, ফুসফুস","ফ্যারিঞ্জাইটিস, সাইনোসাইটিস, নিউমোনিয়া",,,
"অ্যামোক্সিসিলিন ইনজেকশন ও মৌখিক ট্যাবলেট, তরল ইত্যাদির আকারে পাওয়া যায়।",অ্যামোক্সিসিলিন,,,,,"ইনজেকশন, ট্যাবলেট"
শিশুদের জন্য তরল ওষুধ হিসেবে অ্যামোক্সিসিলিন ব্যবহারের পূর্বে ভালোভাবে ঝাঁকাতে হবে।,অ্যামোক্সিসিলিন,,,,,
অ্যামোক্সিসিলিন ওষুধ খাওয়ার সময় প্রচুর পরিমাণে তরল পান করুন।,অ্যামোক্সিসিলিন,,,,অ্যান্টিবায়োটিক,
যাদের পেনিসিলিন বা অন্য পেনিসিলিন অ্যান্টিবায়োটিক থেকে অ্যালার্জি আছে তারা অ্যামোক্সিসিলিন গ্রহণ করবেন না।,অ্যামোক্সিসিলিন,,অ্যালার্জি,,,
"অ্যামোক্সিসিলিনের পার্শ্বপ্রতিক্রিয়াগুলির মধ্যে ত্বকে ফোস্কা, রক্তাক্ত নাক, এবং মাথা ব্যথা অন্তর্ভুক্ত।",অ্যামোক্সিসিলিন,"ত্বক, নাক, মাথা",মাথা ব্যথা,,,
প্রতিদিন নির্দিষ্ট সময়ে অ্যামোক্সিসিলিন নেওয়া উচিত এবং ডোজগুলির মধ্যে ন্যূনতম ৪ ঘন্টা বিরতি রাখা উচিত।,অ্যামোক্সিসিলিন,,,,,ডোজ
অ্যামোক্সিসিলিন ব্যবহারের ফলে অ্যালার্জির প্রতিক্রিয়ায় ফুসকুড়ি বা মুখ ফুলে যাওয়া হতে পারে।,অ্যামোক্সিসিলিন,"ত্বক, মুখ","অ্যালার্জি, ফুসকুড়ি, মুখ ফুলে যাওয়া        ",,,
"অতিরিক্ত মাত্রায় অ্যামোক্সিসিলিন সেবনে বমি, ডায়রিয়া, খিঁচুনি হতে পারে।",অ্যামোক্সিসিলিন,,"বমি, ডায়রিয়া, খিঁচুনি",,,
ঘরের তাপমাত্রায় এবং আর্দ্রতা ও সূর্যালোক থেকে দূরে অ্যামোক্সিসিলিন সংরক্ষণ করুন।,অ্যামোক্সিসিলিন,,,,,
রক্ত পাতলাকারী বা অ্যান্টিকোয়াগুল্যান্টের সাথে অ্যামোক্সিসিলিন নেওয়া উচিত নয়।,অ্যামোক্সিসিলিন,,,,,
"গর্ভাবস্থায় অ্যামোক্সিসিলিন গ্রহণ করা নিরাপদ, তবে ডাক্তারের পরামর্শ নেওয়া উচিত।",অ্যামোক্সিসিলিন,,,,অ্যান্টিবায়োটিক,
অ্যাসিক্লোফেন্যাক এর সাথে অন্যান্য ওষুধ যেমন স্ট্রন্টিয়াম বা কৌমারিন ব্যবহার করবেন না।,"অ্যাসিক্লোফেন্যাক কৌমারিন, স্ট্রন্টিয়াম ",,,,,
